"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 24 17:35:15 UTC 2026","Tue Mar 24 17:35:15 UTC 2026","9","tests.contract","test_delete_cat_contract","","","","test_delete_invalid_ID_contract[float id format]",""
"passed","Tue Mar 24 17:35:15 UTC 2026","Tue Mar 24 17:35:15 UTC 2026","3","tests.api.cats","test_create_cat","","","","test_create_cat_age_boundary[1.5]",""
"passed","Tue Mar 24 17:35:15 UTC 2026","Tue Mar 24 17:35:15 UTC 2026","8","tests.contract","test_create_cat_contract","","","","test_create_cat_invalid_contract[payload2-missing 'breed']",""
"passed","Tue Mar 24 17:35:15 UTC 2026","Tue Mar 24 17:35:15 UTC 2026","7","tests.contract","test_get_cat_contract","","","","test_get_by_invalid_ID_contract[float id format]",""
"passed","Tue Mar 24 17:35:15 UTC 2026","Tue Mar 24 17:35:15 UTC 2026","3","tests.api.cats","test_create_cat","","","","test_create_cat_age_boundary[-1]",""
"passed","Tue Mar 24 17:35:15 UTC 2026","Tue Mar 24 17:35:15 UTC 2026","19","tests.contract","test_create_cat_contract","","","","test_create_cat_duplicate_name",""
"passed","Tue Mar 24 17:35:15 UTC 2026","Tue Mar 24 17:35:15 UTC 2026","9","tests.contract","test_create_cat_contract","","","","test_create_cat_invalid_contract[payload5-empty payload]",""
"passed","Tue Mar 24 17:35:15 UTC 2026","Tue Mar 24 17:35:15 UTC 2026","8","tests.contract","test_get_cat_contract","","","","test_get_all_cats_empty_contract",""
"passed","Tue Mar 24 17:35:15 UTC 2026","Tue Mar 24 17:35:15 UTC 2026","5","tests.api.cats","test_create_cat","","","","test_create_cat_age_boundary[1]",""
"passed","Tue Mar 24 17:35:15 UTC 2026","Tue Mar 24 17:35:15 UTC 2026","2","tests.api.cats","test_create_cat","","","","test_create_cat_name_too_short[one_char name]",""
"passed","Tue Mar 24 17:35:15 UTC 2026","Tue Mar 24 17:35:15 UTC 2026","9","tests.contract","test_delete_cat_contract","","","","test_delete_invalid_ID_contract[nonexistent id]",""
"passed","Tue Mar 24 17:35:15 UTC 2026","Tue Mar 24 17:35:15 UTC 2026","9","tests.contract","test_create_cat_contract","","","","test_create_cat_invalid_contract[payload1-missing 'age']",""
"passed","Tue Mar 24 17:35:15 UTC 2026","Tue Mar 24 17:35:15 UTC 2026","11","tests.contract","test_create_cat_contract","","","","test_create_cat_with_optional_fields_contract",""
"passed","Tue Mar 24 17:35:15 UTC 2026","Tue Mar 24 17:35:15 UTC 2026","17","tests.api.cats","test_delete_cat","","","","test_delete_cat",""
